category,attributes
Бахилы медицинские,Размер; Размерный ряд; Пол; Возраст; Цвет
"Белье для спецодежды нательное, для взрослых",Размер; Размерный ряд; Пол; Возраст; Цвет
Бельевые изделия нательные спортивные для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Блузки женские,Размер; Размерный ряд; Пол; Возраст; Цвет
Боевая одежда пожарного (БОП),Размер; Размерный ряд; Пол; Возраст; Цвет
Брюки для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Веревки альпинистские,Размер; Размерный ряд; Пол; Возраст; Цвет
Ветровки для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Галоши резиновые клееные для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Гели для ухода за кожей лица,Размер; Размерный ряд; Пол; Возраст; Цвет
Детали и аксессуары для одежды форменной,Размер; Размерный ряд; Пол; Возраст; Цвет
Джемперы для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Емкости для инструментов,Размер; Размерный ряд; Пол; Возраст; Цвет
Жакеты женские,Размер; Размерный ряд; Пол; Возраст; Цвет
Жилеты для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Изделия и принадлежности для альпинизма,Размер; Размерный ряд; Пол; Возраст; Цвет
Каска строительная,Размер; Размерный ряд; Пол; Возраст; Цвет
Каски защитные,Размер; Размерный ряд; Пол; Возраст; Цвет
"Колготки, легинсы (рейтузы), кюлоты",Размер; Размерный ряд; Пол; Возраст; Цвет
"Костюмы защитные легкие для защиты от радиационной пыли, химических и бактериологических воздействий",Размер; Размерный ряд; Пол; Возраст; Цвет
Кремы для рук,Размер; Размерный ряд; Пол; Возраст; Цвет
Кроссовки,Размер; Размерный ряд; Пол; Возраст; Цвет
Куртки для взрослых из текстильных материалов демисезонные,Размер; Размерный ряд; Пол; Возраст; Цвет
Куртки для взрослых из текстильных материалов зимние,Размер; Размерный ряд; Пол; Возраст; Цвет
Куртки для взрослых с верхом из меха зимние,Размер; Размерный ряд; Пол; Возраст; Цвет
"Маска лицевая для защиты дыхательных путей, одноразового использования",Размер; Размерный ряд; Пол; Возраст; Цвет
Медицинские наборы,Размер; Размерный ряд; Пол; Возраст; Цвет
Мыло туалетное жидкое,Размер; Размерный ряд; Пол; Возраст; Цвет
Мыло туалетное твердое,Размер; Размерный ряд; Пол; Возраст; Цвет
Накомарники,Размер; Размерный ряд; Пол; Возраст; Цвет
"Нарукавники, наплечники для защиты рук",Размер; Размерный ряд; Пол; Возраст; Цвет
"Носки, подследники",Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь валяная,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь зимняя с верхом из кожи,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь летняя с верхом из кожи,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь осенне-весенняя с верхом из кожи,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь повседневная с верхом из кожи,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь с верхом из текстильных материалов,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь с защитным металлическим подноском,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная диэлектрическая,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная из полимерных материалов для защиты от механических воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная из полимерных материалов для защиты от механических воздействий для работающих в угольных шахтах и разрезах,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная кожаная для защиты от механических воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
"Обувь специальная кожаная для защиты от нефти, нефтепродуктов, кислот, щелочей, нетоксичной и взрывоопасной пыли",Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная кожаная для защиты от повышенных температур,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь специальная кожаная для защиты от скольжения по зажиренным поверхностям,Размер; Размерный ряд; Пол; Возраст; Цвет
Обувь форменная для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Ограждения металлические барьерные,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда для взрослых форменная,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда для пациента и посетителей,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от воды,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от искр и брызг расплавленного металла,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от насекомых и паукообразных,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от неблагоприятных погодных условий,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от общих производственных загрязнений и механических воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от повышенных температур,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от пониженных температур,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от растворов кислот,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная для защиты от термических рисков электрической дуги,Размер; Размерный ряд; Пол; Возраст; Цвет
Одежда специальная повышенной видимости,Размер; Размерный ряд; Пол; Возраст; Цвет
Очки защитные,Размер; Размерный ряд; Пол; Возраст; Цвет
Пальто для взрослых из текстильных материалов зимние,Размер; Размерный ряд; Пол; Возраст; Цвет
Патроны и фильтры сменные для средств индивидуальной защиты органов дыхания,Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки из полимерных материалов для защиты от внешних воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки резиновые общего назначения (кроме медицинских),Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки смотровые/процедурные и хирургические,Размер; Размерный ряд; Пол; Возраст; Цвет
"Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные",Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки трикотажные для защиты от внешних воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки хозяйственные трикотажные,Размер; Размерный ряд; Пол; Возраст; Цвет
Перчатки швейные для защиты от внешних воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
Перчаточные изделия бытового назначения,Размер; Размерный ряд; Пол; Возраст; Цвет
Пиджаки мужские,Размер; Размерный ряд; Пол; Возраст; Цвет
Пижамы для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
"Платки (шали, парео), косынки (банданы)",Размер; Размерный ряд; Пол; Возраст; Цвет
Плащи для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Подшлемники,Размер; Размерный ряд; Пол; Возраст; Цвет
Поло спортивные для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Полотенца текстильные,Размер; Размерный ряд; Пол; Возраст; Цвет
"Приборы бытовые осветительные с питанием от батарей, аккумуляторов",Размер; Размерный ряд; Пол; Возраст; Цвет
Приборы осветительные мобильные для спасательных служб и служб гражданской обороны,Размер; Размерный ряд; Пол; Возраст; Цвет
Принадлежности для ухода за одеждой и обувью,Размер; Размерный ряд; Пол; Возраст; Цвет
Принадлежности и расходные материалы для хирургического оборудования,Размер; Размерный ряд; Пол; Возраст; Цвет
Противогазы,Размер; Размерный ряд; Пол; Возраст; Цвет
Ремни поясные,Размер; Размерный ряд; Пол; Возраст; Цвет
Респираторы,Размер; Размерный ряд; Пол; Возраст; Цвет
Рукавицы для защиты от внешних воздействий,Размер; Размерный ряд; Пол; Возраст; Цвет
"Рукавицы хозяйственные брезентовые, трикотажные",Размер; Размерный ряд; Пол; Возраст; Цвет
Салфетки,Размер; Размерный ряд; Пол; Возраст; Цвет
Самоспасатели пожарные изолирующие с химически связанным кислородом,Размер; Размерный ряд; Пол; Возраст; Цвет
Сапоги резиновые формовые,Размер; Размерный ряд; Пол; Возраст; Цвет
Свитеры для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Снаряжение специальное для спасательных служб и служб гражданской обороны,Размер; Размерный ряд; Пол; Возраст; Цвет
Сорочки верхние мужские,Размер; Размерный ряд; Пол; Возраст; Цвет
Средства дезинсекционные,Размер; Размерный ряд; Пол; Возраст; Цвет
Средства для индивидуальной защиты кожи,Размер; Размерный ряд; Пол; Возраст; Цвет
"Средства защиты ног, кроме обуви специальной",Размер; Размерный ряд; Пол; Возраст; Цвет
Средства защиты противошумные,Размер; Размерный ряд; Пол; Возраст; Цвет
Средства индивидуальной защиты для медицинского персонала прочие,Размер; Размерный ряд; Пол; Возраст; Цвет
Средства индивидуальной защиты от падения с высоты (страховочная привязь),Размер; Размерный ряд; Пол; Возраст; Цвет
Стропы,Размер; Размерный ряд; Пол; Возраст; Цвет
Сумки повседневные,Размер; Размерный ряд; Пол; Возраст; Цвет
Текстиль общего назначения,Размер; Размерный ряд; Пол; Возраст; Цвет
Туфли на подошве и с верхом из резины или пластмассы повседневная,Размер; Размерный ряд; Пол; Возраст; Цвет
Уборы головные для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Фартуки кухонные,Размер; Размерный ряд; Пол; Возраст; Цвет
Фартуки профессиональные,Размер; Размерный ряд; Пол; Возраст; Цвет
Фильтры для общебольничного оборудования,Размер; Размерный ряд; Пол; Возраст; Цвет
Футболки трикотажные для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
"Халат изолирующий, процедурный",Размер; Размерный ряд; Пол; Возраст; Цвет
Халаты для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Халаты производственные,Размер; Размерный ряд; Пол; Возраст; Цвет
Части запасные и материалы расходные для инструментов спасательных служб и служб гражданской обороны,Размер; Размерный ряд; Пол; Возраст; Цвет
Части запасные и материалы расходные для средств пожаротушения,Размер; Размерный ряд; Пол; Возраст; Цвет
Шапки зимние для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Шапочки медицинские,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины (покрышки) и камеры для кресел-колясок,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для автобусов,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для грузовых автомобилей,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для картов,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для легкового автомобиля,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для мотоциклов,Размер; Размерный ряд; Пол; Возраст; Цвет
Шины пневматические для сельскохозяйственных машин,Размер; Размерный ряд; Пол; Возраст; Цвет
"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Размер; Размерный ряд; Пол; Возраст; Цвет
Шины сплошные и полупневматические,Размер; Размерный ряд; Пол; Возраст; Цвет
Шкафы сушильные промышленные,Размер; Размерный ряд; Пол; Возраст; Цвет
Шлемы защитные,Размер; Размерный ряд; Пол; Возраст; Цвет
Шорты для взрослых,Размер; Размерный ряд; Пол; Возраст; Цвет
Щитки лицевые защитные,Размер; Размерный ряд; Пол; Возраст; Цвет
Элементы специальной одежды и средств защиты,Размер; Размерный ряд; Пол; Возраст; Цвет
Юбки женские,Размер; Размерный ряд; Пол; Возраст; Цвет
