category_id,category_name,characteristic,total_items
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: Шины пневматические для строительных,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: Шины,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: Колеса,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип конструкции: Диагональная,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Категория использования: Повышенной проходимости,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Отношение профиля: 80.00000 %,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Способ герметизации шины: Бескамерная,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Диаметр посадочный: 16.50000 дюйм,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Способ поставки товара: По заявке,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Индекс скорости: A8,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип конструкции: Радиальная,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Категория использования: Дорожная,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ширина профиля: 10.00000 дюйм,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Назначение: Строительно-дорожная техника,344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Символ скорости: A8,344
793285271,Шины пневматические для сельскохозяйственных машин,Вид: Шины пневматические для трактора,130
793285271,Шины пневматические для сельскохозяйственных машин,Вид: Шины,130
793285271,Шины пневматические для сельскохозяйственных машин,Вид: Колеса,130
793285271,Шины пневматические для сельскохозяйственных машин,Тип конструкции: Диагональная,130
793285271,Шины пневматические для сельскохозяйственных машин,Способ герметизации: Камерный,130
793285271,Шины пневматические для сельскохозяйственных машин,Тип: R1,130
793285271,Шины пневматические для сельскохозяйственных машин,Отношение профиля: 80.00000 %,130
793285271,Шины пневматические для сельскохозяйственных машин,Индекс скорости: А6,130
793285271,Шины пневматические для сельскохозяйственных машин,Категория использования: Ведущего колеса,130
793285271,Шины пневматические для сельскохозяйственных машин,Назначение: Трактор,130
793285271,Шины пневматические для сельскохозяйственных машин,Способ поставки товара: По заявке,130
793285271,Шины пневматические для сельскохозяйственных машин,Норма слойности: 8PR,130
793285271,Шины пневматические для сельскохозяйственных машин,Диаметр посадочный: 15.30000 дюйм,130
793285271,Шины пневматические для сельскохозяйственных машин,Тип конструкции: Радиальная,130
793285271,Шины пневматические для сельскохозяйственных машин,Ширина профиля: 15.50000 дюйм,130
793286151,Шины пневматические для легкового автомобиля,Назначение: Легковой автомобиль,2926
793286151,Шины пневматические для легкового автомобиля,Диаметр посадочный: 16.00000 дюйм,2926
793286151,Шины пневматические для легкового автомобиля,Тип конструкции: радиальная,2926
793286151,Шины пневматические для легкового автомобиля,Ширина профиля: 215.00000 мм,2926
793286151,Шины пневматические для легкового автомобиля,Индекс скорости: T,2926
793286151,Шины пневматические для легкового автомобиля,Отношение профиля: 65.00000 %,2926
793286151,Шины пневматические для легкового автомобиля,Способ герметизации шины: Бескамерные,2926
793286151,Шины пневматические для легкового автомобиля,Вид: Шины пневматические для легкового автомобиля,2926
793286151,Шины пневматические для легкового автомобиля,Категория использования: Зимняя,2926
793286151,Шины пневматические для легкового автомобиля,Категория использования: Летняя,2926
793286151,Шины пневматические для легкового автомобиля,Тип: Шипованная,2926
793286151,Шины пневматические для легкового автомобиля,Вид: Колеса,2926
793286151,Шины пневматические для легкового автомобиля,Вид: Шины,2926
793286151,Шины пневматические для легкового автомобиля,Индекс скорости: H,2926
793360561,Шины пневматические для грузовых автомобилей,Вид: Шины пневматические для грузовых автомобилей,696
793360561,Шины пневматические для грузовых автомобилей,Вид: Шины,696
793360561,Шины пневматические для грузовых автомобилей,Вид: Колеса,696
793360561,Шины пневматические для грузовых автомобилей,Тип конструкции: радиальная,696
793360561,Шины пневматические для грузовых автомобилей,Способ герметизации шины: Бескамерная,696
793360561,Шины пневматические для грузовых автомобилей,Тип: Дорожный,696
793360561,Шины пневматические для грузовых автомобилей,Тип: Универсальные,696
793360561,Шины пневматические для грузовых автомобилей,Вид: Грузовая,696
793360561,Шины пневматические для грузовых автомобилей,Диаметр посадочный: 22.50000 дюйм,696
793360561,Шины пневматические для грузовых автомобилей,Радиус: 22.50000 дюйм,696
793360561,Шины пневматические для грузовых автомобилей,Отношение профиля: 80.00000 %,696
793360561,Шины пневматические для грузовых автомобилей,Тип: Ведущей оси,696
793360561,Шины пневматические для грузовых автомобилей,Индекс скорости: L,696
793360561,Шины пневматические для грузовых автомобилей,Назначение шины: Грузовой автомобиль,696
793360561,Шины пневматические для грузовых автомобилей,Категория использования: Всесезонная,696
793410132,Шины пневматические для мотоциклов,Вид: Шины пневматические для мотоциклов,50
793410132,Шины пневматические для мотоциклов,Вид: Колеса,50
793410132,Шины пневматические для мотоциклов,Вид: Шины,50
793410132,Шины пневматические для мотоциклов,Тип: Эндуро,50
793410132,Шины пневматические для мотоциклов,Сезон: Летний,50
793410132,Шины пневматические для мотоциклов,Ширина профиля: 120 мм,50
793410132,Шины пневматические для мотоциклов,Ось: Задняя,50
793410132,Шины пневматические для мотоциклов,Высота: 90 мм,50
793410132,Шины пневматические для мотоциклов,Индекс скорости: М,50
793410132,Шины пневматические для мотоциклов,Диаметр: 19 мм,50
793410132,Шины пневматические для мотоциклов,Модель: Battlax A41,50
793410132,Шины пневматические для мотоциклов,Тип: Камеры для колес,50
793410132,Шины пневматические для мотоциклов,Tt: TT,50
