category_id,category_name,characteristic,frequency,total_items_in_category
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: шин покрышек и камер резиновых шины пневматичес,444,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: ти и изделия крепежные для ремонта шин и,276,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: товаров транспортные средства вид транспортные,194,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Характеристика: россия,165,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: сия,164,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: ы запасных частей для транспортных средств коле,158,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Категория: использования шины повышенной проходимости нали,132,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: транспортные средства запасные части вид шин,127,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: об герметизации шины бескамерная спос,119,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип: конструкции пневматических шин диагональная вид,109,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Технические параметры: китай,102,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип: конструкции диагональная вид продукции товар,60,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: тавки товара по заявке тип конструкци,60,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: ти a8 категория использования шины,48,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Характеристика: индия,41,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Материал: ов и запасных частей для них,25,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: ти назначение пневматических шин стро,16,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип: конструкции диагональная условное обозначение н,16,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Категория: использования шины универсальная наличие шипов,13,3331
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Ос: ти a8 способ герметизации шины бес,12,3331
793285271,Шины пневматические для сельскохозяйственных машин,Вид: шин покрышек и камер резиновых шины пневматичес,151,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: ти и изделия крепежные для ремонта шин и,99,1139
793285271,Шины пневматические для сельскохозяйственных машин,Характеристика: россия,81,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: сия,78,1139
793285271,Шины пневматические для сельскохозяйственных машин,Вид: товаров транспортные средства вид транспортные,71,1139
793285271,Шины пневматические для сельскохозяйственных машин,Вид: ы запасных частей для транспортных средств коле,46,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: ти а8 категория использования веду,40,1139
793285271,Шины пневматические для сельскохозяйственных машин,Вид: транспортные средства запасные части вид шин,39,1139
793285271,Шины пневматические для сельскохозяйственных машин,Ос: об герметизации камерные тип конструк,20,1139
