category_id,category_name,attribute_name,type,unit,min,max,top_values,total_items
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид,categorical,,,,"Шины, Колеса, Шины пневматические для строительных, Мототранспортные средства, Автотранспортные средства, шина для мини-погрузчика, Шина для мини-погрузчика, Строительно-дорожная техника, Шина, Шина для погрузчика",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Диаметр посадочный,numeric,дюйм,7.0,38.0,"16.50000 дюйм, 20.00000 дюйм, 25.00000 дюйм, 10.00000 дюйм, 24.00000 дюйм, 8.00000 дюйм, 18.00000 дюйм, 28.00000 дюйм, 15.00000 дюйм, 16.00000 дюйм",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Индекс скорости,categorical,,,,"A8, A2, A5, A3, A6, M, А2, А5, B, А8",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Категория использования,categorical,,,,"Повышенной проходимости, Дорожная, Универсальная, Дорожные, Карьерная, Специальная, Универсальные, Индустриальная шина, Всесезонная, Запасная временного пользования",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Назначение,categorical,,,,"Строительно-дорожная техника, Трактор, для электросамоката, Спецтехника (экскаватор, Спецтехника (погрузчик), вилочный погрузчик, Для вилочных погрузчиков, Легковой автомобиль",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Отношение профиля,numeric,%,12.0,100.0,"80.00000 %, 75.00000 %, 70.00000 %, 60 мм, 85.00000 %, 65.00000 %, 100.00000 %, 55.00000 %, 12.00000 %, 50 мм",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Символ скорости,categorical,,,,"A8, A2, A5, A6, A3, B, A4, А1, D, G",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Способ герметизации шины,categorical,,,,"Бескамерная, Камерный, Бескамерные, Бескамерный, Камерные, Камерная",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Способ поставки товара,categorical,,,,"По заявке, Единовременно, По графику",344
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Тип конструкции,categorical,,,,"Диагональная, Радиальная, Цельнолитая (Гусматик), радиальный",344
