category,characteristic
Машины брошюровочные и переплетные,Цвет: серый
Машины брошюровочные и переплетные,Цвет: серебристый
Машины брошюровочные и переплетные,Материал: металл
Машины брошюровочные и переплетные,Длина: 370
Машины брошюровочные и переплетные,Ширина: 260
Машины брошюровочные и переплетные,Высота: 235
Машины брошюровочные и переплетные,Страна: китай
Микрофоны музыкальные,Материал корпуса: пластик
Микрофоны музыкальные,Материал корпуса: металл
Микрофоны музыкальные,Цвет: черный
Микрофоны музыкальные,Импеданс: 200
Микрофоны музыкальные,Высота: 120
Микрофоны музыкальные,Сопротивление: 200
Микрофоны музыкальные,Ширина: 10
Микрофоны музыкальные,Цвет: бежевый
Материалы для лепки и скульптуры...,Материал: для лепки
Материалы для лепки и скульптуры...,Цвет: после
Материалы для лепки и скульптуры...,Цвет: белый
Материалы для лепки и скульптуры...,Страна: россия
Материалы для лепки и скульптуры...,Цвет: бесцветный
Usb-накопители твердотельные (флеш-драйвы),Цвет: черный
Usb-накопители твердотельные (флеш-драйвы),Материал корпуса: пластик
Usb-накопители твердотельные (флеш-драйвы),Цвет: синий
Usb-накопители твердотельные (флеш-драйвы),Цвет: розовый
Usb-накопители твердотельные (флеш-драйвы),Цвет: серебристый
Usb-накопители твердотельные (флеш-драйвы),Высота: 24
Usb-накопители твердотельные (флеш-драйвы),Ширина: 19
Usb-накопители твердотельные (флеш-драйвы),Длина: 82
Usb-накопители твердотельные (флеш-драйвы),Материал корпуса: металл
Usb-накопители твердотельные (флеш-драйвы),Объем: 32
Usb-накопители твердотельные (флеш-драйвы),Цвет: голубой
Микрофоны компьютерные,Сопротивление: 200
Микрофоны компьютерные,Цвет: черный
Микрофоны компьютерные,Длина кабеля: 200
Микрофоны компьютерные,Ширина: 97
Микрофоны компьютерные,Материал корпуса: пластик
Медиаплееры,Цвет: черный
Медиаплееры,Материал: изделия:пластик
Медиаплееры,Сопротивление: 200
Медиаплееры,Сопротивление: 110
Пружины для переплета металлические,Материал: металл
Пружины для переплета металлические,Количество в упаковке: 100
Пружины для переплета металлические,Цвет: белый
Пружины для переплета металлические,Цвет: серебряный
Пружины для переплета металлические,Материал: крашеная сталь
Пружины для переплета металлические,Цвет: бронза
Пружины для переплета металлические,Длина: 297
Пружины для переплета металлические,Количество листов: 90
Пружины для переплета металлические,Цвет: серый
Пружины для переплета пластиковые,Количество в упаковке: 100
Пружины для переплета пластиковые,Цвет: внешней
Пружины для переплета пластиковые,Материал: пластик
Пружины для переплета пластиковые,Количество в упаковке: 50
Пружины для переплета пластиковые,Цвет: белый
Пружины для переплета пластиковые,Цвет: черный
Пружины для переплета пластиковые,Количество в упаковке: 25
Пружины для переплета пластиковые,Длина: 210
Пружины для переплета пластиковые,Количество листов: 65
Пружины для переплета пластиковые,Количество листов: 46
Пружины для переплета пластиковые,Количество листов: 40
Пружины для переплета пластиковые,Количество листов: 56
Разделители листов картонные,Материал: картон
Разделители листов картонные,Цвет: белый
Разделители листов картонные,Цвет: разноцветный
Разделители листов картонные,Ширина: 120
Разделители листов картонные,Цвет: голубой
Разделители листов картонные,Цвет: с рисунком
Разделители листов картонные,Материал: изготовления:картон/винил
Аксессуары для мобильных устройств,Материал корпуса: пластик
Аксессуары для мобильных устройств,Материал корпуса: металл
Аксессуары для мобильных устройств,Цвет: черный
Аксессуары для мобильных устройств,Ширина: 65
Аксессуары для мобильных устройств,Цвет: серебристый
Аксессуары для мобильных устройств,Цвет: графит
Аксессуары для мобильных устройств,Цвет: синий
Аксессуары для мобильных устройств,Материал: полиуретан
Аксессуары для мобильных устройств,Высота: 140
Аксессуары для мобильных устройств,Цвет: прозрачный
Аксессуары для мобильных устройств,Диагональ: 11
Аксессуары для мобильных устройств,Цвет: pink
Альбомы для фотографий,Количество страниц: 50
Альбомы для фотографий,Цвет: голубой
Альбомы для фотографий,Количество страниц: 100
Альбомы для фотографий,Количество страниц: 20
Альбомы для фотографий,Материал: картон
Альбомы для фотографий,Цвет: бордо
Альбомы для фотографий,Количество страниц: 120
Мышь компьютерная,Разрешение: 1000
Мышь компьютерная,Цвет: черный
Мышь компьютерная,Страна: китай
Мышь компьютерная,Разрешение: 1200
Мышь компьютерная,Разрешение: 1600
Мышь компьютерная,Длина: 150
Мышь компьютерная,Ширина: 220
Мышь компьютерная,Цвет: серый
Наушники,Цвет: черный
Наушники,Материал корпуса: пластик
Наушники,Сопротивление: 32
Наушники,Цвет: серый
Наушники,Страна: китай
Наушники,Материал: амбушюров:1
Наушники,Цвет: голубой
Бейджи,Материал бейджа: пластик
Бейджи,Цвет: прозрачный
Бейджи,Цвет: синий
Бейджи,Цвет: бейджа:прозрачный
Бейджи,Количество в упаковке: 10
Бейджи,Цвет: зеленый
Бейджи,Материал бейджа: атласная ткань
Бейджи,Цвет: тесьмы:тесьма
Бейджи,Ширина: 55
Бейджи,Цвет: голубой
Бейджи,Цвет: триколор
Бейджи,Цвет: серый
Бирки,Материал: пластик
Бирки,Ширина: 22
Бирки,Цвет: красный
Бирки,Цвет: зеленый
Бирки,Цвет: черный
Бирки,Цвет: синий
Бирки,Длина: 53
Бирки,Длина: 50
Обложки для переплета пластиковые,Цвет: обложки:прозрачный
Обложки для переплета пластиковые,Цвет: обложки:бесцветный
Обложки для переплета пластиковые,Цвет: внешней
Обложки для переплета пластиковые,Материал: пластик
Обложки для переплета пластиковые,Цвет: корешка:темно-синий
Обложки для переплета пластиковые,Цвет: обложки:синий
Блоки бумажные для записей,Цвет: желтый
Блоки бумажные для записей,Цвет: розовый
Блоки бумажные для записей,Материал: бумага
Блоки бумажные для записей,Цвет: голубой
Блоки бумажные для записей,Цвет: стикеров:желтый
Блоки бумажные для записей,Цвет: зеленый
Блоки бумажные для записей,Количество листов: 100
Блоки бумажные для записей,Цвет: бумаги:белый
Блоки бумажные для записей,Цвет: стикеров:5 цветов
Блоки бумажные для записей,Цвет: бокса:прозрачный
Блоки бумажные для записей,Цвет: салатовый
Блоки бумажные для записей,Цвет: синий
Блоки питания для компьютерной техники встраиваемые,Ширина: 150
