category_id,category_name,characteristic
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",256 мм
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Бескамерная: Вид запчасти : шина для мини-погрузчика
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Рекомендуемое: давление : 84 Па Наружный диаметр : 793
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Шины: пневматические для строительных дорожных
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",диаметр: 793 мм Модель : IND80
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",профиля: 256 мм Вид транспортные средства : Запас
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",транспортные: средства : Запасные части Тип :
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",12 дюйм
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",16.50000 дюйм
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Вид: Шины покрышки и камеры резиновые Виды за
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Модель: SKS-5
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Назначение: пневматических шин :
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Номинальное: отношение высоты профиля шины к ее
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",дорожных: подъемно-транспортных машин Обозначение
793284715,"Шины пневматические для строительных, дорожных, подъемно-транспортных машин",Бескамерная: Слойность : 12 шт Модель : SKS-1
793285271,Шины пневматические для сельскохозяйственных машин,0.15000 м
793285271,Шины пневматические для сельскохозяйственных машин,1.77000 кг
793285271,Шины пневматические для сельскохозяйственных машин,6 дюйм
793285271,Шины пневматические для сельскохозяйственных машин,Вес: 1.77000 кг Высота : 0.30000 м Диаметр посадочный :
793285271,Шины пневматические для сельскохозяйственных машин,Вид: Шины покрышки и камеры резиновые Виды запасных час
793285271,Шины пневматические для сельскохозяйственных машин,Виды: запасных частей для транспортных средств
793285271,Шины пневматические для сельскохозяйственных машин,Модель: Покрышка 15 0х6 0х6 0 Husqvarna
793285271,Шины пневматические для сельскохозяйственных машин,Шины: пневматические для сельскохозяйственных
793285271,Шины пневматические для сельскохозяйственных машин,комплектующие: принадлежности и изделия крепежные для
