category_id,characteristic,total_items,sample_item_ids
793284715,Наличие шипов: нет,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Тип: конс,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Тип конструкции: диагональная,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Ширина_профиля: 12,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Индекс_скорости: a8,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Норма слойности: 12,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Назначение: пневматических шин: строительно-дорожная техника,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Слойность: 12,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Индекс_нагрузки: 138,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Тип: бескамерная,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Модель: sks-1,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793284715,Сезонность: всесезонная,344,"38740440, 37531772, 36180376, 36180404, 36053840"
793285271,Наличие шипов: нет,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Тип: рис,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Способ герметизации: камерны,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Тип конструкции: диагональная,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Тип рисунка: r1,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Категория использования: ве,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Тип: конс,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Назначение: трактор,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Категория использования: нес,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Категория использования: на,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Ширина_профиля: 11,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793285271,Тип конструкции: радиальная,129,"34332720, 36754056, 37496694, 36685701, 24471156"
793286151,Назначение: пневматических шин: легковой автомобиль,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Тип конструкции: радиальная,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Протектор: да,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Ширина_профиля: 215,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Тип: рис,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Наличие шипов: нет,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Индекс_нагрузки: 95,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Наличие шипов: да,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Шипы: да,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Тип рисунка: протектора: симметричный,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Тип: легко,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793286151,Протектор: нет,2926,"37861052, 24122121, 38724698, 35125860, 37514496"
793360561,Тип: гр,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Тип конструкции: радиальная,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Тип: рис,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Наличие шипов: нет,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Тип рисунка: дорожный,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Сезонность: всесезонная,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Радиус: 22,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Тип: конс,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Назначение: шины: грузовой автомобиль,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Индекс_нагрузки: 156,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Норма слойности: 16,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793360561,Диаметр: 16,696,"38672915, 17911740, 35802889, 38584525, 37844236"
793410132,Тип: мо,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Диаметр: 19 мм,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Сезонность: лето,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Диаметр: 19 дюйм,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Индекс_скорости: 240,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Модель: battlax a41,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Тип: рис,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Индекс_нагрузки: 60,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Тип: бе,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Назначение: для дорожных и спортивных мотоциклов,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Модель: tourance next,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793410132,Радиус: 12,50,"35994245, 35996278, 38724262, 39076463, 19699358"
793284937,Сезонность: всесезонная,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Наличие шипов: нет,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Тип: конс,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Тип: рис,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Радиус: 21,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Индекс_нагрузки: 2120,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Модель: 21x8-9 (200/75-9) bkt maglift 6,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793284937,Модель: optima 2layer std / tr,10,"35124879, 38291534, 38065778, 34729014, 35882246"
793360559,Тип конструкции: радиальная,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Назначение: шины: легкая грузовая,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Наличие шипов: нет,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Наличие шипов: да,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Ширина_профиля: 215,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Индекс_нагрузки: 104,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Модель: green-max winter grip van 2,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Модель: d02,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Модель: autograph ice c3,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793360559,Модель: нк-131,44,"38081214, 35896227, 35895892, 37744350, 38025383"
793410130,Сезонность: летняя,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Размер шины: 145/70-6,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Тип: рис,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Тип рисунка: протектора: с глубоким протектором,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Модель: p319,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Модель: шина мега 3,15,"35694079, 35095664, 38689936, 34884953, 35888731"
793410130,Бренд: мега,15,"35694079, 35095664, 38689936, 34884953, 35888731"
72095359,"Модель: сорочка мужская «аэро» белая , короткий рукав",345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: сорочка мужская «охранник» с длинным рукавом,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Тип: оде,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Назначение: одежды форменной: защита от общепроизводственных загрязнений,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: классическая,345,"35161188, 35161243, 28573270, 35358493, 28574483"
72095359,Модель: свитер полушерстяной,345,"35161188, 35161243, 28573270, 35358493, 28574483"
