category_id,characteristic,total_items,sample_item_ids
793284715,Вид: шин покрышек и камер резиновых шины п,344,"35079880, 37894934, 36956078"
793284715,характеристика: россия,344,"35079880, 37894934, 36956078"
793284715,Вид: транспортные средства запасные части,344,"35079880, 37894934, 36956078"
793284715,Тип: конструкции пневматических шин диагон,344,"35079880, 37894934, 36956078"
793284715,Вид: продукции товары вид товаров транс,344,"35079880, 37894934, 36956078"
793284715,Категория: использования шины повышенной проходи,344,"35079880, 37894934, 36956078"
793284715,характеристика: китай,344,"35079880, 37894934, 36956078"
793284715,Вид: товаров транспортные средства вид тра,344,"35079880, 37894934, 36956078"
793284715,Тип: конструкции диагональная вид продукци,344,"35079880, 37894934, 36956078"
793284715,характеристика: индия,344,"35079880, 37894934, 36956078"
793284715,Материал: ов и запасных частей для них,344,"35079880, 37894934, 36956078"
793284715,Вид: ы транспортных средств расходных материа,344,"35079880, 37894934, 36956078"
793284715,характеристика: турция,344,"35079880, 37894934, 36956078"
793284715,характеристика: bkt,344,"35079880, 37894934, 36956078"
793284715,характеристика: sks-4,344,"35079880, 37894934, 36956078"
793285271,Вид: шин покрышек и камер резиновых шины п,130,"36116427, 38804642, 37883611"
793285271,характеристика: россия,130,"36116427, 38804642, 37883611"
793285271,Вид: транспортные средства запасные части,130,"36116427, 38804642, 37883611"
793285271,Вид: продукции товары вид товаров транс,130,"36116427, 38804642, 37883611"
793285271,Вид: товаров транспортные средства вид тра,130,"36116427, 38804642, 37883611"
793285271,Тип: конструкции пневматических шин диагон,130,"36116427, 38804642, 37883611"
793285271,Тип: конструкции диагональная тип рисунка,130,"36116427, 38804642, 37883611"
793285271,характеристика: индия,130,"36116427, 38804642, 37883611"
793285271,характеристика: 2а,130,"36116427, 38804642, 37883611"
793285271,Категория: использования направляющего колеса на,130,"36116427, 38804642, 37883611"
793285271,характеристика: китай,130,"36116427, 38804642, 37883611"
793285271,Вид: ы запасных частей для транспортных средс,130,"36116427, 38804642, 37883611"
793285271,характеристика: 6 дюйм,130,"36116427, 38804642, 37883611"
793285271,Материал: ов и запасных частей для них,130,"36116427, 38804642, 37883611"
793285271,характеристика: nortec,130,"36116427, 38804642, 37883611"
