category_id,characteristic,total_items,sample_item_ids
793284715,Вид: шин покрышек и камер резиновых шины п,344,"36956078, 38417856, 37796939"
793284715,Тип: конструкции пневматических шин диагон,344,"36956078, 38417856, 37796939"
793284715,Категория: использования шины повышенной проходи,344,"36956078, 38417856, 37796939"
793284715,Вид: транспортные средства запасные части,344,"36956078, 38417856, 37796939"
793284715,Вид: продукции товары вид товаров транс,344,"36956078, 38417856, 37796939"
793284715,Вид: товаров транспортные средства вид тра,344,"36956078, 38417856, 37796939"
793284715,Тип: конструкции диагональная вид продукци,344,"36956078, 38417856, 37796939"
793284715,характеристика: nortec,344,"36956078, 38417856, 37796939"
793284715,характеристика: индия,344,"36956078, 38417856, 37796939"
793284715,характеристика: китай,344,"36956078, 38417856, 37796939"
793284715,характеристика: bkt,344,"36956078, 38417856, 37796939"
793284715,характеристика: honour,344,"36956078, 38417856, 37796939"
793284715,Вид: ы транспортных средств расходных материа,344,"36956078, 38417856, 37796939"
793284715,Материал: ов и запасных частей для них,344,"36956078, 38417856, 37796939"
793284715,характеристика: voltyre,344,"36956078, 38417856, 37796939"
793285271,Вид: шин покрышек и камер резиновых шины п,130,"38704460, 36754056, 35900335"
793285271,Вид: транспортные средства запасные части,130,"38704460, 36754056, 35900335"
793285271,Вид: продукции товары вид товаров транс,130,"38704460, 36754056, 35900335"
793285271,Тип: конструкции пневматических шин диагон,130,"38704460, 36754056, 35900335"
793285271,Тип: конструкции диагональная тип рисунка,130,"38704460, 36754056, 35900335"
793285271,характеристика: nortec,130,"38704460, 36754056, 35900335"
793285271,Вид: товаров транспортные средства вид тра,130,"38704460, 36754056, 35900335"
793285271,Категория: использования направляющего колеса на,130,"38704460, 36754056, 35900335"
793285271,характеристика: voltyre,130,"38704460, 36754056, 35900335"
793285271,характеристика: 2а,130,"38704460, 36754056, 35900335"
793285271,характеристика: индия,130,"38704460, 36754056, 35900335"
793285271,Вид: ы запасных частей для транспортных средс,130,"38704460, 36754056, 35900335"
793285271,характеристика: bkt,130,"38704460, 36754056, 35900335"
793285271,характеристика: husqvarna,130,"38704460, 36754056, 35900335"
793285271,характеристика: 6 дюйм,130,"38704460, 36754056, 35900335"
793286151,характеристика: runflat,2926,"18982380, 39066264, 35429118"
793286151,Нет: категория использования шины,2926,"18982380, 39066264, 35429118"
793286151,Да: номинальная ширина профиля,2926,"18982380, 39066264, 35429118"
793286151,характеристика: tyres,2926,"18982380, 39066264, 35429118"
793286151,характеристика: nokian,2926,"18982380, 39066264, 35429118"
793286151,Назначение: пневматических шин легковой автомобил,2926,"18982380, 39066264, 35429118"
793286151,Вид: шин покрышек и камер резиновых шины п,2926,"18982380, 39066264, 35429118"
793286151,Категория: использования шины зимние назначение,2926,"18982380, 39066264, 35429118"
793286151,характеристика: ice,2926,"18982380, 39066264, 35429118"
793286151,характеристика: suv,2926,"18982380, 39066264, 35429118"
793286151,Вид: транспортные средства запасные части,2926,"18982380, 39066264, 35429118"
793286151,характеристика: nordman,2926,"18982380, 39066264, 35429118"
793286151,Вид: продукции товары вид товаров транс,2926,"18982380, 39066264, 35429118"
793286151,характеристика: pirelli,2926,"18982380, 39066264, 35429118"
793286151,характеристика: michelin,2926,"18982380, 39066264, 35429118"
793360561,Вид: ы шин пневматических для грузовых автомо,684,"37886630, 37270304, 37895988"
793360561,Вид: шин покрышек и камер резиновых шины п,684,"37886630, 37270304, 37895988"
793360561,Вид: транспортные средства запасные части,684,"37886630, 37270304, 37895988"
793360561,Вид: продукции товары вид товаров транс,684,"37886630, 37270304, 37895988"
793360561,Тип: грузовых шин универсальные тип констр,684,"37886630, 37270304, 37895988"
793360561,Нет: номинальная ширина профиля,684,"37886630, 37270304, 37895988"
793360561,Вид: товаров транспортные средства вид тра,684,"37886630, 37270304, 37895988"
793360561,Тип: рисунка дорожный тип рисунка протекто,684,"37886630, 37270304, 37895988"
793360561,Категория: использования шины всесезонная наличи,684,"37886630, 37270304, 37895988"
793360561,характеристика: tyres,684,"37886630, 37270304, 37895988"
793360561,Вид: шины по назначению легкая грузовая ин,684,"37886630, 37270304, 37895988"
793360561,характеристика: китай,684,"37886630, 37270304, 37895988"
793360561,характеристика: r22,684,"37886630, 37270304, 37895988"
793360561,характеристика: cordiant,684,"37886630, 37270304, 37895988"
793360561,Тип: рисунка дорожный вид продукции тов,684,"37886630, 37270304, 37895988"
793410132,Вид: шины покрышки и камеры резиновые вид тра,50,"38778234, 38713795, 19706508"
793410132,Вид: товаров транспортные средства вид про,50,"38778234, 38713795, 19706508"
793410132,характеристика: kenda,50,"38778234, 38713795, 19706508"
793410132,Вид: ы запасных частей для транспортных средс,50,"38778234, 38713795, 19706508"
793410132,характеристика: tr4,50,"38778234, 38713795, 19706508"
793410132,характеристика: япония,50,"38778234, 38713795, 19706508"
793410132,характеристика: mitas,50,"38778234, 38713795, 19706508"
793410132,характеристика: китай,50,"38778234, 38713795, 19706508"
793410132,Модель: mitas,50,"38778234, 38713795, 19706508"
793410132,характеристика: battlax,50,"38778234, 38713795, 19706508"
793410132,характеристика: front,50,"38778234, 38713795, 19706508"
793410132,характеристика: geomax,50,"38778234, 38713795, 19706508"
793410132,характеристика: bridgestone,50,"38778234, 38713795, 19706508"
793410132,Модель: dunlop,50,"38778234, 38713795, 19706508"
793410132,характеристика: dunlop,50,"38778234, 38713795, 19706508"
793284937,Вид: шин покрышек и камер резиновых шины с,10,"34708505, 35882246, 35882158"
793284937,характеристика: std,10,"34708505, 35882246, 35882158"
793284937,характеристика: bkt,10,"34708505, 35882246, 35882158"
793284937,Тип: конструкции полупневматических шин ди,10,"34708505, 35882246, 35882158"
793284937,Вид: шины сплошная цельнолитая индекс на,10,"34708505, 35882246, 35882158"
