category_id,characteristic,total_items
793284715,Вид: Шины пневматические для строительных,344
793284715,Вид: Шины,344
793284715,Вид: Колеса,344
793284715,Тип конструкции: Диагональная,344
793284715,Категория использования: Повышенной проходимости,344
793284715,Отношение профиля: 80.00000 %,344
793284715,Способ герметизации шины: Бескамерная,344
793284715,Диаметр посадочный: 16.50000 дюйм,344
793284715,Способ поставки товара: По заявке,344
793284715,Индекс скорости: A8,344
793284715,Тип конструкции: Радиальная,344
793284715,Категория использования: Дорожная,344
793284715,Ширина профиля: 10.00000 дюйм,344
793284715,Назначение: Строительно-дорожная техника,344
793284715,Символ скорости: A8,344
793285271,Вид: Шины пневматические для трактора,130
793285271,Вид: Шины,130
793285271,Вид: Колеса,130
793285271,Тип конструкции: Диагональная,130
793285271,Способ герметизации: Камерный,130
793285271,Тип: R1,130
793285271,Отношение профиля: 80.00000 %,130
793285271,Индекс скорости: А6,130
793285271,Категория использования: Ведущего колеса,130
793285271,Назначение: Трактор,130
793285271,Способ поставки товара: По заявке,130
793285271,Норма слойности: 8PR,130
793285271,Диаметр посадочный: 15.30000 дюйм,130
793285271,Тип конструкции: Радиальная,130
793285271,Ширина профиля: 15.50000 дюйм,130
793286151,Назначение: Легковой автомобиль,2926
793286151,Диаметр посадочный: 16.00000 дюйм,2926
793286151,Тип конструкции: радиальная,2926
793286151,Ширина профиля: 215.00000 мм,2926
793286151,Индекс скорости: T,2926
793286151,Отношение профиля: 65.00000 %,2926
793286151,Способ герметизации шины: Бескамерные,2926
793286151,Вид: Шины пневматические для легкового автомобиля,2926
793286151,Категория использования: Зимняя,2926
793286151,Категория использования: Летняя,2926
793286151,Тип: Шипованная,2926
793286151,Вид: Колеса,2926
793286151,Вид: Шины,2926
793286151,Индекс скорости: H,2926
793360561,Вид: Шины пневматические для грузовых автомобилей,696
793360561,Вид: Шины,696
793360561,Вид: Колеса,696
793360561,Тип конструкции: радиальная,696
793360561,Способ герметизации шины: Бескамерная,696
793360561,Тип: Дорожный,696
793360561,Тип: Универсальные,696
793360561,Вид: Грузовая,696
793360561,Диаметр посадочный: 22.50000 дюйм,696
793360561,Радиус: 22.50000 дюйм,696
793360561,Отношение профиля: 80.00000 %,696
793360561,Тип: Ведущей оси,696
793360561,Индекс скорости: L,696
793360561,Назначение шины: Грузовой автомобиль,696
793360561,Категория использования: Всесезонная,696
793410132,Вид: Шины пневматические для мотоциклов,50
793410132,Вид: Колеса,50
793410132,Вид: Шины,50
793410132,Тип: Эндуро,50
793410132,Сезон: Летний,50
793410132,Ширина профиля: 120 мм,50
793410132,Ось: Задняя,50
793410132,Высота: 90 мм,50
793410132,Индекс скорости: М,50
793410132,Диаметр: 19 мм,50
793410132,Модель: Battlax A41,50
793410132,Тип: Камеры для колес,50
793410132,Tt: TT,50
793410132,Тип: бескамерная (TL),50
793410132,Диагональная: D,50
793284937,Вид: Шины сплошные и полупневматические,10
793284937,Вид: Сплошная (Цельнолитая),10
793284937,Вид: Шины,10
793284937,Вид: Колеса,10
793284937,Сезонность: Всесезонная,10
793284937,Исполнение цельнолитой шины: Без бурта,10
793284937,Тип конструкции: Диагональные,10
793284937,Диаметр посадочный: 9.00000 дюйм,10
793284937,Способ герметизации шины: Бескамерные,10
793284937,Индекс нагрузки: 2120.00000,10
793284937,Максимальная нагрузка: 2755.00000 кг,10
793284937,Модель: Optima 2LAYER STD / TR,10
793284937,Радиус: 21.00000 дюйм,10
793284937,Модель: Шина цельнолитая 5,10
793284937,Модель: 275/40R19 105V XL Winter SottoZero 3 Run Flat,10
793360559,Вид: Шины пневматические для автобусов,44
793360559,Тип конструкции: Радиальная,44
793360559,Вид: Шины,44
793360559,Вид: Колеса,44
793360559,Способ герметизации шины: Бескамерная,44
793360559,Диаметр посадочный: 16.00000 дюйм,44
793360559,Назначение шины: Легкая грузовая,44
793360559,Отношение профиля: 75.00000 %,44
793360559,Категория использования: Зимняя,44
793360559,Индекс скорости: R,44
793360559,Ширина профиля: 215.00000 мм,44
793360559,Категория использования: Всесезонная,44
793360559,Индекс нагрузки: 104.00000,44
793360559,Категория использования: Дорожная,44
793360559,Категория использования: Универсальная,44
793410130,Максимальная скорость: 150 км/час,15
793410130,Твёрдость: 62 шора,15
793410130,Вид: Шины пневматические для картов,15
793410130,Допускаемая нагрузка: 60 кгс,15
793410130,Вид: Шины,15
793410130,Вид: Колеса,15
793410130,Сезонность: Летняя,15
793410130,Диаметр колеса: 10.00000 дюйм,15
793410130,Тип: С глубоким протектором,15
793410130,Ширина беговой дорожки: 4.50000 дюйм,15
793410130,Размер шины: 145/70-6,15
793410130,Слойность (pr): 2,15
793410130,Вес (кг): 1.59000 кг,15
793410130,Модель: P319,15
793410130,Высота: 450 мм,15
793410128,Внутренний диаметр: 540 мм,10
793410128,Высота: 610 мм,10
793410128,Размер: 24 дюйм,10
793410128,Максимальная нагрузка (на одно колесо): 60 кг,10
793410128,Материал: НЕЙЛОН,10
793410128,Назначение: ДЛЯ ЗАДНИХ КОЛЕС ИНВАЛИДНОЙ КОЛЯСКИ,10
793410128,Модель: 540х37-п,10
793410128,Вид: Шины (покрышки) и камеры для кресел-колясок,10
793410128,Вес: 700 г,10
793410128,Материал: резина,10
793410128,Цвет: Серый,10
793410128,Вид: Шины,10
793410128,Вид: Колеса,10
793410128,Рекомендуемое давление: 2.80000 атмосфер (атм),10
793410128,Протектор: HS440,10
72095359,Вид: Одежда для взрослых форменная,345
72095359,Воротник: отложной со стойкой,345
72095359,Вид: короткий,345
72095359,Плотность ткани: 105 г/кв.м,345
72095359,Половая принадлежность: мужской,345
72095359,Цвет: голубой,345
72095359,Силуэт: приталенный с вытачками на спинке,345
72095359,Состав: 60% хлопок,345
72095359,Модель: Сорочка мужская «Аэро» белая,345
